Centro bankia|Nombre Largo|centro espejo CBK|Nombre en CBK
1813|OFICINA 1813|4871|OF. MADRID-AV. CDAD. BARCELONA-COME
1815|OFICINA 1815|3718|OF. MADRID-SERRANO-SALAMANCA PLAZA
1817|OFICINA 1817|3169|OF. MADRID-RAFAEL CALVO
1820|OFICINA 1820|862|OF. MADRID-CARDENAL SILÍCEO
1821|OFICINA 1821|930|OF. MADRID-CASTELLANA-CUZCO
1824|OFICINA 1824|1410|OF. MADRID-RAMÓN PÉREZ AYALA
1826|OFICINA 1826|3119|OF. MADRID-PRINCESA
1830|OFICINA ÁGIL 1830|3952|OF. ÁGIL MADRID-M TERESA S HEREDIA-
1835|OFICINA 1835|3245|OF. MADRID-FUENTELARREINA-L. ALAS C
1838|OFICINA 1838|3431|OF. MADRID-EL POZO
1839|OFICINA 1839|3316|OF. MADRID-PUERTA DE HIERRO
1841|OFICINA 1841|5719|OF. MADRID-Bº FUENCARRAL
1842|OFICINA 1842|3224|OF. MADRID-ALFREDO MARQUERIE
1843|OFICINA 1843|2851|OF. MADRID-RAIMUNDO FDEZ. VILLAVERD
1845|OFICINA 1845|6350|OF. MADRID-MARQUÉS DE LOZOYA
1847|OFICINA 1847|590|OF. MADRID-PL. LAVAPIÉS
1848|OFICINA 1848|3702|OF. MADRID-MIRASIERRA-C.COMERCIAL
1850|OFICINA 1850|3403|OF. MADRID-JOSE DE CADALSO
1852|OFICINA 1852|2539|OF. MADRID-TORRE EUROPA
1859|OFICINA 1859|1098|OF. MADRID-SAN FCO. SALES
1861|OFICINA 1861|1121|OF. MADRID-O´DONNELL
