ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000149|Litigio|7315120
6000000000000150|Litigio|7455619
6000000000000151|Litigio|7419566
6000000000000152|Litigio|7305787
6000000000000153|Litigio|7449135
6000000000000154|Litigio|7451319
6000000000000155|Litigio|7451320
6000000000000156|Litigio|7451420
6000000000000156|Litigio|7447591
6000000000000157|Litigio|7318298
6000000000000157|Litigio|7318299
6000000000000157|Litigio|7318296
6000000000000157|Litigio|7318297
6000000000000158|Litigio|7420280
6000000000000159|Litigio|7447939
6000000000000160|Litigio|7420227
6000000000000161|Litigio|7422586
6000000000000161|Litigio|7320397
6000000000000161|Litigio|7422587
6000000000000162|Litigio|7446919
6000000000000163|Litigio|7420274
6000000000000163|Litigio|7419562
6000000000000164|Litigio|7318977
6000000000000165|Litigio|7431727
6000000000000166|Litigio|7420260
6000000000000167|Litigio|7318649
6000000000000167|Litigio|7318648
6000000000000168|Litigio|7371487
6000000000000169|Litigio|7420268
6000000000000170|Litigio|7316035
6000000000000171|Litigio|7453699
6000000000000172|Litigio|7448866
6000000000000173|Litigio|7420302
6000000000000174|Litigio|7447922
6000000000000175|Litigio|7450932
6000000000000176|Litigio|7453253
6000000000000177|Litigio|7317972
6000000000000178|Litigio|7431746
6000000000000179|Litigio|7420213
6000000000000180|Litigio|7454542
6000000000000181|Litigio|7313979
6000000000000181|Litigio|7313980
6000000000000181|Litigio|7313981
6000000000000181|Litigio|7326693
6000000000000181|Litigio|7326694
6000000000000182|Litigio|7453451
6000000000000183|Litigio|7315952
6000000000000184|Litigio|7360653
6000000000000184|Litigio|7360664
6000000000000184|Litigio|7360708
6000000000000184|Litigio|7360720
6000000000000184|Litigio|7344621
6000000000000184|Litigio|7360639
6000000000000184|Litigio|7360678
6000000000000184|Litigio|7360627
6000000000000184|Litigio|7360649
6000000000000184|Litigio|7360656
6000000000000184|Litigio|7360682
6000000000000184|Litigio|7360675
6000000000000184|Litigio|7360723
6000000000000184|Litigio|7344622
6000000000000184|Litigio|7360631
6000000000000184|Litigio|7360663
6000000000000184|Litigio|7360711
6000000000000184|Litigio|7360635
6000000000000184|Litigio|7360643
6000000000000184|Litigio|7360674
6000000000000184|Litigio|7360707
6000000000000184|Litigio|7360693
6000000000000184|Litigio|7360657
6000000000000184|Litigio|7360677
