Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
062757|00003900
062766|00003900
062767|00003900
062769|00003900
062770|00003900
062772|00003900
062774|00003900
062775|00003900
062776|00003900
062777|00003900
062790|00003900
062791|00003900
062794|00003900
062807|00003900
062809|00003900
062810|00003900
062811|00003900
062813|00003900
062816|00003900
062820|00003900
062821|00003900
062833|00003900
062834|00003900
062836|00003900
062851|00003900
062854|00003900
062855|00003900
062858|00003900
062860|00003900
062863|00003900
062864|00003900
062865|00003900
062870|00003900
062892|00003900
062895|00003900
062900|00003900
062901|00003900
062903|00003900
062904|00003900
062907|00003900
062909|00003300
062910|00003300
062911|00003300
062914|00003300
062915|00003900
062916|00003901
062921|00003900
062922|00003900
062923|00003900
062931|00003900
062937|00003900
062938|00003900
062942|00003900
062958|00003900
062960|00003900
062965|00003900
062976|00003900
062993|00003900
062996|00003900
063002|00003900
063004|00003900
063006|00003900
063007|00003900
063012|00003900
063016|00003900
063019|00003900
063026|00003900
063027|00003900
063030|00003900
063035|00003900
063036|00003900
063039|00003900
063041|00003900
063046|00003900
063050|00003900
063059|00003900
063062|00003300
063063|00003300
063071|00003900
063072|00003900
063077|00003900
063079|00003900
063085|00003900
063086|00003900
063091|00003900
063093|00003900
063098|00003900
063103|00003900
063108|00003900
063112|00003900
063114|00003900
063115|00003900
063116|00003900
063119|00003900
063120|00003900
063121|00003900
063124|00003900
063126|00003900
063130|00003900
063131|00003900
063133|00003900
063135|00003900
063142|00003900
063144|00003900
063145|00003900
063149|00003900
063150|00003900
063158|00003900
063162|00003900
063163|00003900
063164|00003900
063165|00003900
063167|00003900
063169|00003900
063175|00003900
063176|00003900
063178|00003900
063179|00003900
063183|00003900
063185|00003900
063194|00003900
063198|00003900
063202|00003900
063206|00003900
063207|00003900
063209|00003900
063210|00003900
063211|00003900
063212|00003900
063214|00003900
063215|00003900
063216|00003900
063217|00003300
063221|00003900
063227|00003900
063228|00003900
063231|00003900
063234|00003900
063241|00003900
063242|00003900
063249|00003300
063251|00003901
063257|00003900
063258|00003900
063260|00003900
063262|00003900
063263|00003900
063265|00003900
063272|00003900
063273|00003900
063274|00003900
063276|00003900
063280|00003900
063283|00003900
063286|00003900
063287|00003900
063289|00003900
063290|00003900
063292|00003900
063293|00003900
063294|00003900
063296|00003900
063300|00003900
063301|00003900
063311|00003900
063314|00003900
063318|00003900
063319|00003300
063320|00003900
063328|00003900
063333|00003900
063343|00003900
063344|00003900
063348|00003900
063351|00003900
063353|00003900
063356|00003300
063357|00003900
063359|00003900
063361|00003900
063362|00003900
063363|00003900
063364|00003900
063365|00003900
063366|00003900
063368|00003900
063369|00003900
063371|00003900
063374|00003900
063377|00003900
063378|00003900
063383|00003900
063384|00003900
063391|00003900
063392|00003900
063396|00003900
063397|00003900
063400|00003900
063407|00003900
063408|00003900
063413|00003900
063417|00003900
063419|00003900
063421|00003900
063422|00003900
063427|00003900
063428|00003900
063432|00003900
063433|00003900
063434|00003900
063435|00003900
063438|00003900
063439|00003900
063443|00003900
063444|00003900
063445|00003900
063447|00003900
063453|00003900
063454|00003900
063457|00003900
063458|00003900
063460|00003900
063469|00003900
063474|00003900
063475|00003900
063477|00003900
063482|00003900
063487|00003900
063490|00003900
063491|00003900
063493|00003900
063495|00003900
063496|00003900
063499|00003900
063502|00003900
063505|00003900
063506|00003900
063510|00003900
063513|00003900
063514|00003900
063515|00003900
063517|00003900
063520|00003900
063521|00003900
063524|00003900
063531|00003900
063533|00003900
063534|00003900
063538|00003900
063539|00003900
063541|00003900
063544|00003900
