ID HAYA;ID SERVICER;ID INMUEBLE BS
7040496;213809219929;213809219929
7040497;213809219931;213809219931
7040498;213809219933;213809219933
7040499;213809219937;213809219937
7040500;213809219938;213809219938
7040501;213809219940;213809219940
7040502;213809219941;213809219941
7040503;213809219943;213809219943
7040504;213809219944;213809219944
7040505;213809219945;213809219945
7040506;213809219950;213809219950
7040507;213809219953;213809219953
7040508;213809219954;213809219954
7040509;213809219955;213809219955
7040510;213809219956;213809219956
7040511;213809219957;213809219957
7040512;213809219958;213809219958
7040513;213809219960;213809219960
7040514;213809219961;213809219961
7040515;213809219962;213809219962
7040516;213809219965;213809219965
7040517;213809219966;213809219966
7040518;213809219967;213809219967
7040519;213809219968;213809219968
7040520;213809219970;213809219970
7040521;213809219971;213809219971
7040522;213809219972;213809219972
7040523;213809219973;213809219973
7040524;213809219975;213809219975
7040525;213809219976;213809219976
7040526;213810219984;213810219984
7040527;213810219985;213810219985
7040528;213810219988;213810219988
7040529;213810219989;213810219989
7040530;213810219990;213810219990
7040531;213810219991;213810219991
7040532;213810219992;213810219992
7040533;213810219994;213810219994
7040534;213810219997;213810219997
7040535;213810219999;213810219999
7040536;213810220001;213810220001
7040537;213810220004;213810220004
7040538;213810220007;213810220007
7040539;213810220011;213810220011
7040540;213810220012;213810220012
7040541;213810220016;213810220016
7040542;213810220017;213810220017
7040543;213810220018;213810220018
7040544;213810220019;213810220019
7040545;213810220024;213810220024
7040546;213810220025;213810220025
7040547;213810220027;213810220027
7040548;213810220028;213810220028
7040549;213810220030;213810220030
7040550;213810220031;213810220031
7040551;213810220034;213810220034
7040552;213810220035;213810220035
7040553;213810220042;213810220042
7040554;213810220043;213810220043
7040555;213810220046;213810220046
7040556;213810220047;213810220047
7040557;213810220049;213810220049
7040558;213810220050;213810220050
7040559;213810220051;213810220051
7040560;213810220059;213810220059
7040561;213810220060;213810220060
7040562;213810220061;213810220061
7040563;213810220062;213810220062
7040564;213810220063;213810220063
7040565;213810220065;213810220065
7040566;213810220066;213810220066
7040567;213810220067;213810220067
7040568;213810220069;213810220069
7040569;213810220070;213810220070
7040570;213810220073;213810220073
